Player,Date,Elo
Denis Shapovalov,2018-11-05,1829.68867972
Matteo Berrettini,2018-11-05,1757.98812492
Hubert Hurkacz,2018-11-05,1738.39996616
Denis Shapovalov,2018-11-12,1829.68867972
Matteo Berrettini,2018-11-12,1757.98812492
Hubert Hurkacz,2018-11-12,1726.70884007
Denis Shapovalov,2018-11-19,1829.68867972
Matteo Berrettini,2018-11-19,1757.98812492
Hubert Hurkacz,2018-11-19,1726.70884007
Denis Shapovalov,2018-12-31,1829.68867972
Matteo Berrettini,2018-12-31,1757.98812492
Hubert Hurkacz,2018-12-31,1726.70884007
Denis Shapovalov,2019-01-07,1829.68867972
Matteo Berrettini,2019-01-07,1748.2830029
Hubert Hurkacz,2019-01-07,1708.90750475
Denis Shapovalov,2019-01-14,1807.85107329
Hubert Hurkacz,2019-01-14,1758.62476478
Matteo Berrettini,2019-01-14,1746.3079652
Denis Shapovalov,2019-01-28,1824.7259272
Hubert Hurkacz,2019-01-28,1741.01073418
Matteo Berrettini,2019-01-28,1738.61566689
Denis Shapovalov,2019-02-04,1845.9572364
Matteo Berrettini,2019-02-04,1752.12941246
Hubert Hurkacz,2019-02-04,1723.6666479
Denis Shapovalov,2019-02-11,1835.04475477
Matteo Berrettini,2019-02-11,1797.15776684
Hubert Hurkacz,2019-02-11,1707.68327842
Denis Shapovalov,2019-02-18,1844.88539328
Matteo Berrettini,2019-02-18,1797.15776684
Hubert Hurkacz,2019-02-18,1707.68327842
Denis Shapovalov,2019-02-25,1825.89719841
Matteo Berrettini,2019-02-25,1795.4705919
Hubert Hurkacz,2019-02-25,1723.33755951
Denis Shapovalov,2019-03-04,1825.89719841
Matteo Berrettini,2019-03-04,1774.48191816
Hubert Hurkacz,2019-03-04,1757.16008378
Denis Shapovalov,2019-03-18,1843.91273744
Hubert Hurkacz,2019-03-18,1829.46128728
Matteo Berrettini,2019-03-18,1825.567951
Denis Shapovalov,2019-04-01,1902.35202141
Hubert Hurkacz,2019-04-01,1850.37421631
Matteo Berrettini,2019-04-01,1809.3360987
Denis Shapovalov,2019-04-08,1902.35202141
Hubert Hurkacz,2019-04-08,1850.37421631
Matteo Berrettini,2019-04-08,1809.3360987
Denis Shapovalov,2019-04-15,1902.35202141
Hubert Hurkacz,2019-04-15,1850.37421631
Matteo Berrettini,2019-04-15,1809.3360987
Denis Shapovalov,2019-04-22,1881.18350244
Hubert Hurkacz,2019-04-22,1839.160432
Matteo Berrettini,2019-04-22,1793.80719286
Matteo Berrettini,2019-04-29,1869.54298999
Denis Shapovalov,2019-04-29,1861.9000376
Hubert Hurkacz,2019-04-29,1810.5904183
Matteo Berrettini,2019-05-06,1903.60991852
Denis Shapovalov,2019-05-06,1861.9000376
Hubert Hurkacz,2019-05-06,1810.5904183
Matteo Berrettini,2019-05-13,1903.60991852
Hubert Hurkacz,2019-05-13,1852.86320018
Denis Shapovalov,2019-05-13,1845.25843868
Matteo Berrettini,2019-05-20,1915.25975076
Denis Shapovalov,2019-05-20,1855.19079334
Hubert Hurkacz,2019-05-20,1829.52937613
Matteo Berrettini,2019-05-27,1915.25975076
